LCE6A	IPR031716
RGSL1	IPR016137
TMEM189	IPR019547
FAM149A	IPR022194
TRAPPC13	IPR010378
HTR3E	IPR018000
HTR3E	IPR006029
HTR3E	IPR006202
HTR3E	IPR006201
CNOT1	IPR032194
CNOT1	IPR032191
CNOT1	IPR032193
CNOT1	IPR024557
CNOT1	IPR011989
CNOT1	IPR007196
ARHGEF3	IPR029212
CARNS1	IPR011761
CARNS1	IPR013815
CARNS1	IPR031046
MEGF11	IPR013032
MEGF11	IPR000742
MEGF11	IPR002049
MEGF11	IPR011489
CDHR4	IPR002126
CDHR4	IPR020894
CDHR4	IPR015919
BDP1	IPR009057
BDP1	IPR001005
BDP1	IPR030701
FAM221B	IPR026755
C5orf63	IPR008554
C5orf63	IPR012336
DPPA5	IPR031952
DPPA5	IPR004088
TMEM150B	IPR019402
GOLGA8I	IPR024858
PINLYP	IPR016054
PINLYP	IPR004126
CCDC88B	IPR008636
GOLGA8O	IPR024858
MAP1LC3B2	IPR004241
MAP1LC3B2	IPR029071
KLHL33	IPR011333
KLHL33	IPR011705
KLHL33	IPR017096
KLHL33	IPR015915
KLHL33	IPR030609
KLHL33	IPR006652
MAGEA13P	IPR002190
MAGEA13P	IPR021072
VWA3A	IPR002035
C2orf78	IPR027898
C19orf71	IPR029203
TRIM43B	IPR003879
TRIM43B	IPR003877
TRIM43B	IPR013083
TRIM43B	IPR000315
TRIM43B	IPR013320
TRIM43B	IPR001870
TRIM43B	IPR001841
TRIM43B	IPR017907
GMNC	IPR029700
LRCOL1	IPR001981
IQCA1L	IPR003959
IQCA1L	IPR027417
IQCA1L	IPR000048
KRT87P	IPR003054
KRT87P	IPR001664
RNF222	IPR017907
RNF222	IPR001841
RNF222	IPR013083
RNF222	IPR027370
NKX2-6	IPR020479
NKX2-6	IPR009057
NKX2-6	IPR017970
NKX2-6	IPR001356
C2orf72	IPR027868
OR6C74	IPR017452
OR6C74	IPR000276
OR6C74	IPR000725
USP17L3	IPR018200
USP17L3	IPR001394
USP17L3	IPR028889
FAM231B	IPR031773
USP17L4	IPR028889
USP17L4	IPR001394
IZUMO1R	IPR004269
IZUMO1R	IPR018143
FAM83G	IPR012461
OR14I1	IPR017452
OR14I1	IPR000276
OR14I1	IPR000725
ASPDH	IPR005106
ASPDH	IPR016040
ASPDH	IPR002811
ASPDH	IPR011182
PALM3	IPR024149
SYNDIG1L	IPR007593
RBMY1B	IPR000504
RBMY1B	IPR012604
GAGE12H	IPR008625
GAGE12H	IPR031320
PGP	IPR023214
PGP	IPR006349
PGP	IPR006357
OR5H15	IPR017452
OR5H15	IPR000276
OR5H15	IPR000725
TRIM49B	IPR003879
TRIM49B	IPR003877
TRIM49B	IPR013083
TRIM49B	IPR000315
TRIM49B	IPR013320
TRIM49B	IPR001870
TRIM49B	IPR001841
GOLGA6C	IPR024858
OR6C68	IPR017452
OR6C68	IPR000276
OR6C68	IPR000725
GOLGA6B	IPR024858
MYADML2	IPR008253
MEIS3P1	IPR009057
MEIS3P1	IPR032453
MEIS3P1	IPR001356
MEIS3P1	IPR008422
TBC1D3B	IPR000195
TMEM8B	IPR013032
TMEM8B	IPR021910
ZNF840P	IPR001909
ZNF840P	IPR013087
PABPN1L	IPR000504
MBD3L4	IPR032343
MBD3L4	IPR025884
BTBD17	IPR011333
BTBD17	IPR011705
BTBD17	IPR000210
WDR97	IPR019775
WDR97	IPR017986
WDR97	IPR015943
WDR97	IPR001680
MBD3L3	IPR032343
MBD3L3	IPR025884
NPEPPSL1	IPR034016
NPEPPSL1	IPR001930
NPEPPSL1	IPR014782
RCCD1	IPR009091
RCCD1	IPR000408
PLEKHD1	IPR001849
PLEKHD1	IPR011993
GOLGA6L	IPR024858
GOLGA6L	IPR026737
TMEM247	IPR029200
ARRDC5	IPR011022
ARRDC5	IPR014756
ARRDC5	IPR011021
SOWAHB	IPR002110
SOWAHB	IPR020683
FAM86C2P	IPR029426
GOLGA6L	IPR024858
GOLGA6L	IPR026737
RBMY1E	IPR000504
RBMY1E	IPR012604
FAM181B	IPR029359
TBC1D3F	IPR000195
GAGE12J	IPR008625
GAGE12J	IPR031320
MROH2A	IPR016024
MROH2A	IPR011989
OR5K3	IPR017452
OR5K3	IPR000276
OR5K3	IPR000725
PRR23A	IPR018903
GOLGA6L	IPR024858
GOLGA6L	IPR026737
PRORSD1P	IPR007214
POM121B	IPR026054
POM121B	IPR026090
CCDC182	IPR031678
NUPR2	IPR018792
OR6C6	IPR017452
OR6C6	IPR000276
OR6C6	IPR000725
FAM205C	IPR027970
TRABD2B	IPR002816
TMEM235	IPR004031
OR2W5	IPR017452
OR2W5	IPR000276
OR2W5	IPR000725
HELT	IPR011598
HELT	IPR003650
SMCO2	IPR026617
EFCAB10	IPR002048
EFCAB10	IPR003117
EFCAB10	IPR011992
NAP1L6	IPR002164
FABP12	IPR000566
FABP12	IPR031259
FABP12	IPR000463
FABP12	IPR012674
FABP12	IPR031261
ZNF316	IPR001909
ZNF316	IPR013083
ZNF316	IPR013087
GRXCR2	IPR033023
GRXCR2	IPR001305
RBFOX3	IPR025670
RBFOX3	IPR017325
RBFOX3	IPR000504
RBFOX3	IPR034237
ANKUB1	IPR000626
ANKUB1	IPR002110
ANKUB1	IPR020683
ANKUB1	IPR029071
TCAF2	IPR031161
TCAF2	IPR029062
DPRX	IPR009057
DPRX	IPR017970
DPRX	IPR001356
CFAP73	IPR025252
FAM187A	IPR007110
FAM187A	IPR013783
FAM187A	IPR013106
PGPEP1L	IPR016125
MFSD2B	IPR020846
NEMP2	IPR019358
SDHAF1	IPR008011
MGAT4D	IPR006759
TMEM191	IPR028186
TMEM221	IPR029201
WIPF3	IPR003124
TLCD2	IPR006634
ZSCAN5C	IPR013087
ZSCAN5C	IPR008916
ZSCAN5C	IPR003309
ZSCAN5C	IPR027775
ZSCAN5C	IPR013083
DCAF8L1	IPR017986
DCAF8L1	IPR015943
DCAF8L1	IPR001680
C2orf71	IPR029352
CCDC160	IPR026789
ANKRD61	IPR002110
ANKRD61	IPR020683
TRIM64	IPR018957
TRIM64	IPR003879
TRIM64	IPR003877
TRIM64	IPR013083
TRIM64	IPR000315
TRIM64	IPR013320
TRIM64	IPR001870
TRIM64	IPR001841
TRIM64	IPR017907
GAGE10	IPR008625
GAGE10	IPR031320
PRAMEF25	IPR026271
PRAMEF25	IPR032675
IGLON5	IPR003599
IGLON5	IPR007110
IGLON5	IPR013783
IGLON5	IPR013151
IGLON5	IPR003598
OOEP	IPR031952
MROH6	IPR016024
MROH6	IPR011989
ERICH4	IPR029202
GGT3P	IPR029055
GGT3P	IPR000101
STRCP1	IPR026061
STRCP1	IPR026664
FRG2C	IPR026245
OR51F1	IPR017452
OR51F1	IPR000276
OR51F1	IPR000725
OR2T8	IPR017452
OR2T8	IPR000276
OR2T8	IPR000725
GLTPD2	IPR014830
SERINC4	IPR005016
SERINC4	IPR029563
TVP23A	IPR008564
ARL5C	IPR024156
ARL5C	IPR006689
ARL5C	IPR005225
ARL5C	IPR027417
OR4C46	IPR017452
OR4C46	IPR000276
OR4C46	IPR000725
CAPN8	IPR022684
CAPN8	IPR000169
CAPN8	IPR018247
CAPN8	IPR033883
CAPN8	IPR022682
CAPN8	IPR022683
CAPN8	IPR001300
CAPN8	IPR011992
CAPN8	IPR002048
CAPN8	IPR029543
DDTL	IPR001398
DDTL	IPR014347
DDTL	IPR019829
OR5H14	IPR017452
OR5H14	IPR000276
OR5H14	IPR000725
ZNF860	IPR001909
ZNF860	IPR013087
MOXD2P	IPR000945
MOXD2P	IPR024548
MOXD2P	IPR000323
MOXD2P	IPR005018
MOXD2P	IPR014784
MOXD2P	IPR008977
MOXD2P	IPR028464
OTOL1	IPR008983
OTOL1	IPR008160
OTOL1	IPR001073
NPIPB15	IPR009443
SPDYE2B	IPR020984
FBLL1	IPR000692
FBLL1	IPR020813
FBLL1	IPR029063
EPOP	IPR027971
FAM47DP	IPR026083
FAM47DP	IPR032743
SMCHD1	IPR013783
SMCHD1	IPR003594
SMCHD1	IPR010935
MANSC4	IPR011106
MANSC4	IPR013980
CASTOR2	IPR026249
CASTOR2	IPR027795
LRRC14B	IPR032675
TRIM64B	IPR018957
TRIM64B	IPR003879
TRIM64B	IPR003877
TRIM64B	IPR013083
TRIM64B	IPR000315
TRIM64B	IPR013320
TRIM64B	IPR001870
TRIM64B	IPR001841
TRIM64B	IPR017907
MSGN1	IPR011598
ARHGAP42	IPR001452
ARHGAP42	IPR027267
ARHGAP42	IPR000198
ARHGAP42	IPR008936
ARHGAP42	IPR001849
ARHGAP42	IPR011993
POTEM	IPR002110
POTEM	IPR020683
CCDC154	IPR029512
TMEM8C	IPR021910
NCF1B	IPR001452
NCF1B	IPR001683
NCF1B	IPR032136
NCF1B	IPR001655
NCF1B	IPR015039
NCF1B	IPR034909
LILRA5	IPR003599
LILRA5	IPR007110
LILRA5	IPR013783
LILRA5	IPR003598
GOLGA6L	IPR024858
GOLGA6L	IPR026737
CBY3	IPR028118
RRN3P2	IPR007991
PRSS29P	IPR033116
PRSS29P	IPR009003
PRSS29P	IPR001254
PRSS29P	IPR001314
PRSS29P	IPR018114
UNC119B	IPR008015
UNC119B	IPR014756
OR6C70	IPR017452
OR6C70	IPR000276
OR6C70	IPR000725
LRRC10B	IPR003591
LRRC10B	IPR032675
LRRC10B	IPR001611
CRYM-AS1	IPR026082
SLC15A5	IPR020846
SLC15A5	IPR000109
LRRIQ4	IPR003591
LRRIQ4	IPR032675
LRRIQ4	IPR025875
LRRIQ4	IPR000048
LRRIQ4	IPR001611
WTIP	IPR001781
SPDYE5	IPR020984
MBD3L5	IPR032343
MBD3L5	IPR025884
NKX6-3	IPR020479
NKX6-3	IPR009057
NKX6-3	IPR017970
NKX6-3	IPR001356
NKX6-3	IPR000047
METTL15	IPR002903
METTL15	IPR029063
METTL15	IPR023397
SAGE2P	IPR029307
PRR19	IPR029355
SOWAHD	IPR002110
SOWAHD	IPR020683
ARGFX	IPR009057
ARGFX	IPR017970
ARGFX	IPR001356
C11orf86	IPR027990
LRRC72	IPR032675
LRRC72	IPR001611
C19orf67	IPR021748
ZSCAN5B	IPR013087
ZSCAN5B	IPR008916
ZSCAN5B	IPR003309
ZSCAN5B	IPR027775
UNCX	IPR009057
UNCX	IPR017970
UNCX	IPR001356
C2orf70	IPR018902
LRRC3C	IPR003591
LRRC3C	IPR032675
LRRC3C	IPR001611
CD8B2	IPR003599
CD8B2	IPR007110
CD8B2	IPR013783
CD8B2	IPR013106
SLC9B1P1	IPR006153
OR6C65	IPR017452
OR6C65	IPR000276
OR6C65	IPR000725
RIMBP3C	IPR001452
RIMBP3C	IPR003961
RIMBP3C	IPR013783
RIMBP3C	IPR011511
TRIM75P	IPR003879
TRIM75P	IPR006574
TRIM75P	IPR003877
TRIM75P	IPR013083
TRIM75P	IPR000315
TRIM75P	IPR013320
TRIM75P	IPR001870
TRIM75P	IPR001841
TRIM75P	IPR017907
GLOD5	IPR029068
GLOD5	IPR004360
ZNF233	IPR001909
ZNF233	IPR013087
LIPT2	IPR004143
LIPT2	IPR000544
ASB14	IPR001496
ASB14	IPR002110
ASB14	IPR020683
ZNF98	IPR001909
ZNF98	IPR013083
ZNF98	IPR013087
RASSF10	IPR000159
RASSF10	IPR029071
RASSF10	IPR033593
RASSF10	IPR033634
SLC22A20	IPR020846
SLC22A20	IPR005828
PCNX2	IPR007735
SH2D7	IPR000980
TSPY2	IPR002164
CCDC85C	IPR019359
SAC3D1	IPR005062
ARID3C	IPR001606
ARID3C	IPR023334
TMEM88B	IPR033355
RTL1	IPR021109
RTL1	IPR032567
RTL1	IPR032549
RPL37AP8	IPR011332
RPL37AP8	IPR002674
RPL37AP8	IPR011331
OR5H1	IPR017452
OR5H1	IPR000276
OR5H1	IPR000725
TMEM200	IPR018787
PCP4L1	IPR033234
SDR42E2	IPR002225
SDR42E2	IPR016040
CGB1	IPR018245
CGB1	IPR006208
CGB1	IPR029034
CGB1	IPR001545
RGPD3	IPR019734
RGPD3	IPR000156
RGPD3	IPR000237
RGPD3	IPR032023
RGPD3	IPR011993
RGPD3	IPR011990
RGPD3	IPR013026
SPDYE3	IPR020984
FAM159B	IPR026910
SLC22A31	IPR020846
SLC22A31	IPR005828
OR6C75	IPR017452
OR6C75	IPR000276
OR6C75	IPR000725
OR5B21	IPR017452
OR5B21	IPR000276
OR5B21	IPR000725
FAM183A	IPR029214
SHISA7	IPR026910
AQP7P3	IPR015686
AQP7P3	IPR000425
AQP7P3	IPR023271
C3orf70	IPR029670
SMIM23	IPR027880
ELOA3D	IPR010684
ELOA3D	IPR003617
ELOA3D	IPR017923
TRIM64C	IPR003879
TRIM64C	IPR003877
TRIM64C	IPR013083
TRIM64C	IPR000315
TRIM64C	IPR013320
TRIM64C	IPR001870
TRIM64C	IPR001841
TRIM64C	IPR017907
C2CD4B	IPR000008
TTC36	IPR013026
TTC36	IPR019734
TTC36	IPR011990
RFPL4A	IPR003879
RFPL4A	IPR006574
RFPL4A	IPR003877
RFPL4A	IPR013083
RFPL4A	IPR013320
RFPL4A	IPR001870
RFPL4A	IPR022723
RFPL4A	IPR001841
VSTM2B	IPR003599
VSTM2B	IPR007110
VSTM2B	IPR013783
VSTM2B	IPR013106
DUXA	IPR009057
DUXA	IPR001356
DUXA	IPR000047
SPDYE4	IPR020984
TMEM210	IPR028123
OR2AG2	IPR017452
OR2AG2	IPR000276
OR2AG2	IPR000725
AQP12B	IPR000425
AQP12B	IPR023271
AQP12B	IPR023265
AQP12B	IPR016697
LRRC37A2	IPR001611
LRRC37A2	IPR003591
LRRC37A2	IPR032675
LRRC37A2	IPR029423
LRRC37A2	IPR032754
LRRC37A2	IPR015753
ZFP92	IPR001909
ZFP92	IPR013083
ZFP92	IPR013087
LRRC30	IPR003591
LRRC30	IPR032675
LRRC30	IPR001611
CCT8L1P	IPR027409
CCT8L1P	IPR027413
CCT8L1P	IPR017998
CCT8L1P	IPR002423
CLDN24	IPR006187
CLDN24	IPR004031
CLDN24	IPR017974
LRRC53	IPR003591
LRRC53	IPR032675
LRRC53	IPR001611
OR6C76	IPR017452
OR6C76	IPR000276
OR6C76	IPR000725
SIGLEC16	IPR003599
SIGLEC16	IPR007110
SIGLEC16	IPR013783
SIGLEC16	IPR013098
SIGLEC16	IPR003598
SIGLEC16	IPR013106
SIGLEC16	IPR003006
FIGNL2	IPR003959
FIGNL2	IPR003593
FIGNL2	IPR027417
IFITM10	IPR007593
GOLGA8J	IPR024858
CPSF4L	IPR000571
FAM196B	IPR029337
TMEM212	IPR030417
OR5K4	IPR017452
OR5K4	IPR000276
OR5K4	IPR000725
LRRC37A	IPR001611
LRRC37A	IPR003591
LRRC37A	IPR032675
LRRC37A	IPR029423
LRRC37A	IPR032754
LRRC37A	IPR015753
DBX1	IPR020479
DBX1	IPR009057
DBX1	IPR017970
DBX1	IPR001356
DBX1	IPR000047
OR52A4P	IPR017452
OR52A4P	IPR000276
OR52A4P	IPR000725
EIF4E1B	IPR023398
EIF4E1B	IPR019770
EIF4E1B	IPR001040
ANXA2P2	IPR018252
ANXA2P2	IPR002389
ANXA2P2	IPR001464
ANXA2P2	IPR018502
SNTN	IPR034325
SNTN	IPR026790
SNTN	IPR011992
SNTN	IPR013787
OR4C45	IPR017452
OR4C45	IPR000276
OR4C45	IPR000725
COL6A6	IPR008160
COL6A6	IPR002035
ZNF729	IPR001909
ZNF729	IPR013083
ZNF729	IPR013087
GOLGA8C	IPR024858
C2orf81	IPR028042
GJE1	IPR013092
GJE1	IPR019570
GJE1	IPR000500
SRRM3	IPR029360
SRRM3	IPR013170
IFITM5	IPR007593
OR2AT4	IPR017452
OR2AT4	IPR000276
OR2AT4	IPR000725
MARCH11	IPR011016
MARCH11	IPR033275
MARCH11	IPR013083
ZNF726	IPR001909
ZNF726	IPR013083
ZNF726	IPR013087
FAM90A27P	IPR001878
C15orf6	IPR029245
RIMBP3B	IPR001452
RIMBP3B	IPR003961
RIMBP3B	IPR013783
RIMBP3B	IPR011511
TTLL13P	IPR004344
SLC38A8	IPR013057
DHRS7C	IPR002347
DHRS7C	IPR016040
DHRS7C	IPR020904
C16orf96	IPR032013
SPDYE16	IPR020984
RIIAD1	IPR003117
USP27X	IPR018200
USP27X	IPR001394
USP27X	IPR028889
ZNF716	IPR001909
ZNF716	IPR013087
TTLL8	IPR013815
TTLL8	IPR004344
NCBP2L	IPR027157
NCBP2L	IPR034148
NCBP2L	IPR000504
KNCN	IPR027837
LRRIQ3	IPR032675
LRRIQ3	IPR025875
LRRIQ3	IPR000048
LRRIQ3	IPR001611
FAM177B	IPR028260
BTBD11	IPR011333
BTBD11	IPR002110
BTBD11	IPR020683
BTBD11	IPR009072
BTBD11	IPR000210
ANKRD36	IPR002110
ANKRD36	IPR020683
YJEFN3	IPR032976
YJEFN3	IPR004443
RTL8C	IPR032567
RTL8C	IPR032549
GOLGA8A	IPR024858
ANKRD30BL	IPR002110
ANKRD30BL	IPR020683
C4orf47	IPR029358
MYH7B	IPR027417
MYH7B	IPR002928
MYH7B	IPR001609
MYH7B	IPR000048
MYH7B	IPR004009
ARHGAP32	IPR008936
ARHGAP32	IPR000198
ARHGAP32	IPR001452
ARHGAP32	IPR001683
DISP2	IPR000731
TBKBP1	IPR024581
SRRM4	IPR029360
SOBP	IPR026092
POM121C	IPR026054
POM121C	IPR026090
ZNF839	IPR013087
ZNF839	IPR031885
MEIS3P2	IPR009057
MEIS3P2	IPR032453
MEIS3P2	IPR001356
MEIS3P2	IPR008422
WASHC1	IPR021854
WASHC1	IPR028290
CD300LB	IPR003599
CD300LB	IPR007110
CD300LB	IPR013783
CD300LB	IPR013106
CLCA1	IPR004727
CLCA1	IPR013783
CLCA1	IPR002035
CLCA1	IPR013642
EFCAB7	IPR002048
EFCAB7	IPR018247
EFCAB7	IPR011992
SFI1	IPR030516
ZNF785	IPR001909
ZNF785	IPR013083
ZNF785	IPR013087
ERI2	IPR010666
ERI2	IPR012337
ERI2	IPR013520
DDX11L8	IPR014013
DDX11L8	IPR006554
DDX11L8	IPR010614
DDX11L8	IPR006555
DDX11L8	IPR013020
DDX11L8	IPR027417
YDJC	IPR006879
YDJC	IPR011330
PP2D1	IPR001932
